Unnamed: 0,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,Income_Percentile,O_long,O_lat,D_long,D_lat
421,Donostialdea,Donostialdea,Usurbil,Donostia/San Sebastian,Coche conductor,13:30,22,Donostia/San Sebastian,2,3,1,2 adultos con niño(s),1,5,1,1,2021,28185.41,4,-2.0459465042023623,43.27054854257803,-2.033693,43.256347
422,Donostialdea,Donostialdea,Hernani,Donostia/San Sebastian,Coche conductor,18:15,22,Donostia/San Sebastian,2,3,1,Otros hogares con niños,2,4,1,1,2021,23437.51,2,-1.9950711389657496,43.27176651575693,-2.033693,43.256347
423,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Autobús interurbano,14:15,22,Errenteria,2,3,1,2 adultos con niño(s),2,3,4,1,2021,10768.535000000002,1,-1.9255906825085445,43.320620973944855,-2.033693,43.256347
424,Urola Kosta       ,Donostialdea,Zumaia,Donostia/San Sebastian,Coche conductor,11:30,99,Donostia/San Sebastian,1,2,1,2 adultos,2,6,1,1,2021,21240.2,1,-2.262507632923785,43.29531867425141,-2.033693,43.256347
425,Debagoiena,Donostialdea,Arrasate/Mondragon,Oiartzun,Coche conductor,14:00,99,Lezo,2,3,1,Otros hogares con niños,2,5,1,1,2021,25635.41,3,-2.490954098382055,43.06539550410638,-2.033693,43.256347
426,Bidasoa,Donostialdea,Irun,Donostia/San Sebastian,EUSKOTREN,16:00,22,Donostia/San Sebastian,1,2,1,2 adultos,1,4,1,1,2021,23828.42,3,-1.8048414635810015,43.33250176754093,-2.033693,43.256347
427,Tolosaldea,Donostialdea,Tolosa,Hernani,Coche conductor,18:30,22,Hernani,2,4,1,Otros hogares sin niños,2,3,1,1,2021,24137.635,2,-2.074851919428033,43.13802217475446,-2.033693,43.256347
428,Urola Kosta       ,Donostialdea,Zarautz,Donostia/San Sebastian,Coche conductor,10:00,21,Zarautz,1,3,1,2 adultos,1,6,1,1,2021,24578.070000000003,2,-2.177543839207642,43.28527895386333,-2.033693,43.256347
429,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Coche conductor,15:30,22,Errenteria,2,2,2,2 adultos con niño(s),2,5,1,1,2021,21756.57,1,-1.974616178055908,43.29458277756744,-2.033693,43.256347
430,Donostialdea,Donostialdea,Errenteria,Donostia/San Sebastian,Autobús interurbano,08:10,22,Errenteria,2,3,1,2 adultos con niño(s),2,3,4,1,2021,13135.685,1,-1.9058372642490795,43.3122915496518,-2.033693,43.256347
431,Tolosaldea,Donostialdea,Tolosa,Donostia/San Sebastian,Coche pasajero,14:30,22,Donostia/San Sebastian,2,2,2,2 adultos con niño(s),1,5,1,1,2021,22887.65,2,-2.035314284111746,43.04822266148027,-2.033693,43.256347
432,Donostialdea,Donostialdea,Errenteria,Donostia/San Sebastian,Coche conductor,17:00,22,Errenteria,2,2,2,2 adultos con niño(s),2,5,1,1,2021,25718.91,4,-1.8969418440649588,43.30867730482268,-2.033693,43.256347
433,Donostialdea,Donostialdea,Hernani,Donostia/San Sebastian,Coche conductor,17:00,22,Donostia/San Sebastian,1,2,1,2 adultos,2,3,1,1,2021,22756.935,2,-1.9828292694412557,43.27333107885804,-2.033693,43.256347
434,Donostialdea,Donostialdea,Oiartzun,Errenteria,Coche conductor,08:00,23,Oiartzun,2,3,2,Otros hogares con niños,2,3,1,1,2021,21396.285,1,-1.8578700217446784,43.29190652694488,-2.033693,43.256347
435,Debabarrena,Donostialdea,Elgoibar,Hernani,Coche conductor,16:30,22,Hernani,2,2,1,2 adultos con niño(s),1,5,1,1,2021,22307.55,1,-2.42794432559632,43.20553501551815,-2.033693,43.256347
436,Donostialdea,Donostialdea,Lasarte-Oria,Donostia/San Sebastian,Coche conductor,08:30,22,Lasarte-Oria,2,3,1,Otros hogares sin niños,1,6,1,1,2021,25257.01,3,-2.0195939336892166,43.265667708742505,-2.033693,43.256347
437,Urola Kosta       ,Donostialdea,Zarautz,Pasaia,Coche conductor,07:55,22,Zarautz,2,3,2,Otros hogares con niños,2,4,1,1,2021,21744.82,1,-2.1615039041661297,43.28347621075598,-2.033693,43.256347
438,Donostialdea,Donostialdea,Donostia/San Sebastian,Pasaia,Autobús interurbano,19:00,22,Pasaia,2,3,2,Otros hogares con niños,2,3,1,1,2021,23269.735,2,-2.026707205894841,43.31574094870823,-2.033693,43.256347
439,Donostialdea,Donostialdea,Lezo,Errenteria,Moto,16:00,22,Errenteria,2,2,2,2 adultos con niño(s),1,4,1,1,2021,20912.65,1,-1.8908726154493607,43.32450165451197,-2.033693,43.256347
440,Donostialdea,Donostialdea,Errenteria,Donostia/San Sebastian,Coche conductor,12:30,23,Donostia/San Sebastian,2,2,1,Otros hogares sin niños,1,6,1,1,2021,28231.56,4,-1.908636672460896,43.31546743630244,-2.033693,43.256347
441,Bidasoa,Donostialdea,Irun,Oiartzun,Coche conductor,14:40,22,Irun,1,2,1,Hogar de una persona,2,4,1,1,2021,22280.77,1,-1.806911719523652,43.34017043547961,-2.033693,43.256347
442,Debagoiena,Donostialdea,Oñati,Donostia/San Sebastian,Coche conductor,17:00,22,Donostia/San Sebastian,2,3,2,Otros hogares sin niños,1,4,1,1,2021,25017.26,2,-2.4093242593560844,43.032446180990334,-2.033693,43.256347
443,Donostialdea,Donostialdea,Andoain,Donostia/San Sebastian,Coche conductor,16:05,22,Donostia/San Sebastian,2,2,1,2 adultos con niño(s),1,5,1,1,2021,24223.07,2,-2.023933506793133,43.22047630101665,-2.033693,43.256347
444,Debabarrena,Donostialdea,Deba,Oiartzun,Coche pasajero,06:00,22,Deba,1,1,1,Hogar de una persona,1,4,1,2,2021,22492.8,1,-2.356136568382927,43.29062471411628,-2.033693,43.256347
445,Goierri                              ,Donostialdea,Legazpi,Donostia/San Sebastian,Coche conductor,08:00,99,Legazpi,1,2,1,Hogar de una persona,1,5,1,1,2021,26393.71,4,-2.3340113132937166,43.05628171061563,-2.033693,43.256347
446,Donostialdea,Donostialdea,Lezo,Usurbil,Coche pasajero,05:15,22,Lezo,1,2,2,Hogar de una persona,1,4,1,1,2021,24918.51,3,-1.8521409986032924,43.32624133915087,-2.033693,43.256347
447,Donostialdea,Donostialdea,Lezo,Oiartzun,Coche conductor,13:15,22,Irun,2,3,2,2 adultos con niño(s),1,5,1,1,2021,27465.11,4,-1.8946365668162344,43.31747143286193,-2.033693,43.256347
448,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Coche conductor,11:00,22,Errenteria,2,2,1,Otros hogares sin niños,2,3,1,1,2021,18671.675,1,-1.950807625825029,43.31735480793087,-2.033693,43.256347
449,Debagoiena,Donostialdea,Oñati,Donostia/San Sebastian,Coche conductor,17:00,22,Donostia/San Sebastian,2,3,2,Otros hogares sin niños,1,4,1,1,2021,25017.26,2,-2.4188611216592104,43.04004884060929,-2.033693,43.256347
450,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Moto,15:00,22,Errenteria,1,2,3,2 adultos,2,3,1,1,2021,24375.785,3,-1.952682038102276,43.32076115934689,-2.033693,43.256347
451,Donostialdea,Donostialdea,Oiartzun,Errenteria,Coche conductor,14:50,22,Oiartzun,2,3,2,Otros hogares con niños,2,3,1,1,2021,21396.285,1,-1.8743082291721795,43.29920396727847,-2.033693,43.256347
452,Donostialdea,Donostialdea,Donostia/San Sebastian,Hernani,Coche conductor,21:30,22,Donostia/San Sebastian,2,3,2,2 adultos con niño(s),1,5,1,1,2021,24223.07,3,-1.9979124777983328,43.30599996638584,-2.033693,43.256347
453,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,EUSKOTREN,16:00,22,Errenteria,2,2,1,2 adultos con niño(s),2,6,1,1,2021,22590.46,2,-1.958617317109852,43.31726220497477,-2.033693,43.256347
454,Bidasoa,Donostialdea,Irun,Andoain,Coche conductor,20:00,22,Andoain,1,2,1,Hogar de una persona,1,5,1,1,2021,26224.31,4,-1.8182298948712867,43.337913295178176,-2.033693,43.256347
455,Donostialdea,Donostialdea,Pasaia,Errenteria,Coche conductor,14:45,22,Errenteria,2,2,1,2 adultos con niño(s),1,5,1,1,2021,23474.77,3,-1.9189712358672368,43.31368377755164,-2.033693,43.256347
456,Donostialdea,Donostialdea,Donostia/San Sebastian,Andoain,Coche conductor,05:20,22,Donostia/San Sebastian,1,2,1,2 adultos,1,4,1,1,2021,25423.61,3,-1.981074330115122,43.31403120883015,-2.033693,43.256347
457,Bidasoa,Donostialdea,Irun,Hernani,Coche conductor,07:50,22,Irun,2,3,1,2 adultos con niño(s),1,5,1,1,2021,27465.11,4,-1.7896636650809596,43.32634912955611,-2.033693,43.256347
458,Donostialdea,Donostialdea,Donostia/San Sebastian,Usurbil,Coche conductor,17:30,99,Pasaia,2,2,1,Otros hogares sin niños,1,3,5,1,2021,13446.595,1,-1.9238385599927577,43.31933779992053,-2.033693,43.256347
459,Donostialdea,Donostialdea,Lezo,Donostia/San Sebastian,Coche conductor,18:00,22,Donostia/San Sebastian,1,2,1,2 adultos,2,4,1,1,2021,26808.31,4,-1.867056916132052,43.32768528176466,-2.033693,43.256347
460,Donostialdea,Donostialdea,Donostia/San Sebastian,Hernani,Coche conductor,08:00,21,Donostia/San Sebastian,2,2,1,Otros hogares sin niños,1,5,1,1,2021,26243.96,4,-2.0151420731913774,43.30365479349865,-2.033693,43.256347
461,Donostialdea,Donostialdea,Lasarte-Oria,Usurbil,Moto,10:30,99,Lasarte-Oria,2,3,2,Otros hogares con niños,1,6,1,1,2021,23064.520000000004,2,-2.015523626417831,43.262438311731415,-2.033693,43.256347
462,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Autobús interurbano,13:30,23,Errenteria,1,1,1,Hogar de una persona,1,5,1,2,2021,23126.5,2,-1.9553458633918044,43.31151049999206,-2.033693,43.256347
463,Bidasoa,Donostialdea,Irun,Urnieta,Coche conductor,07:00,22,Irun,2,4,1,Otros hogares sin niños,1,5,1,1,2021,27890.81,4,-1.781850140034196,43.340425295042486,-2.033693,43.256347
